Date,Account,Symbol,Type,Shares,Price,Amount,Notes
"August 21, 2025",TFSA,VCN.TO,BUY,263.0,57.25,15056.75,Migrated initial buy
"September 26, 2025",TFSA,VCN.TO,DRIP,2.441,60.65,148.04665,Migrated dividend reinvestment
"September 25, 2025",TFSA,VCN.TO,DIVIDEND,0.0,0.0,148.05,Migrated dividend
"September 25, 2025",TFSA,VCN.TO,DIVIDEND,0.0,0.0,4.3,
"September 26, 2025",TFSA,VCN.TO,DRIP,0.0708,60.65,4.29,
"January 7, 2026",TFSA,VCN.TO,DIVIDEND,0.0,0.0,165.92,
"January 8, 2026",TFSA,VCN.TO,DRIP,2.5258,65.68,165.92,
"March 27, 2026",TFSA,VCN.TO,DIVIDEND,0.0,0.0,140.45,
"March 27, 2026",TFSA,VCN.TO,DRIP,2.1734,64.62,140.45,
"June 1, 2026",TFSA,VDY.TO,BUY,107.0,72.74,7783.18,
"June 3, 2026",TFSA,VDY.TO,BUY,94.5627,74.1,7007.1,
"June 1, 2026",RRSP,VDY.TO,BUY,353.0,72.77,25687.81,
"October 6, 2025",TFSA,VFV.TO,DIVIDEND,0.0,0.0,106.92,
"October 8, 2025",TFSA,VFV.TO,DRIP,0.6396,167.15,106.91,
"January 8, 2026",TFSA,VFV.TO,DIVIDEND,0.0,0.0,114.58,
"January 8, 2026",TFSA,VFV.TO,DRIP,0.6723,170.43,114.58,
"April 6, 2026",TFSA,VFV.TO,DIVIDEND,0.0,0.0,123.91,
"April 7, 2026",TFSA,VFV.TO,DRIP,0.7528,162.32,122.19,
"April 7, 2026",TFSA,VFV.TO,DRIP,0.0104,162.32,1.69,
"June 23, 2025",TFSA,VIU.TO,BUY,7.0,37.72,264.04,
"July 2, 2025",TFSA,VIU.TO,BUY,12.0,38.69,464.28,
"August 21, 2025",TFSA,VIU.TO,BUY,439.0,40.72,17876.08,
"July 11, 2025",TFSA,VIU.TO,BUY,113.0,38.89,4394.71,
"July 18, 2025",TFSA,VIU.TO,BUY,57.0,38.9,2217.3,
"July 18, 2025",TFSA,VIU.TO,BUY,1.0,38.89,38.89,
"August 21, 2025",TFSA,VIU.TO,BUY,4.0,40.72,162.88,
"September 25, 2025",TFSA,VIU.TO,DIVIDEND,0.0,0.0,117.96,
"September 25, 2025",TFSA,VIU.TO,DIVIDEND,0.0,0.0,27.03,
"September 26, 2025",TFSA,VIU.TO,DRIP,0.6576,41.1,27.03,
"September 26, 2025",TFSA,VIU.TO,DRIP,2.87,41.1,117.96,
"January 7, 2026",TFSA,VIU.TO,DIVIDEND,0.0,0.0,166.0,
"January 8, 2026",TFSA,VIU.TO,DRIP,0.2703,44.38,12.0,
"January 8, 2026",TFSA,VIU.TO,DRIP,3.4693,44.38,154.0,
"March 27, 2026",TFSA,VIU.TO,DIVIDEND,0.0,0.0,66.67,
"March 27, 2026",TFSA,VIU.TO,DRIP,0.1331,43.05,5.73,
"March 27, 2026",TFSA,VIU.TO,DRIP,1.4155,43.05,60.94,
"April 6, 2026",RRSP,VFV.TO,DIVIDEND,0.0,0.0,61.04,
"April 7, 2026",RRSP,VFV.TO,DRIP,0.7528,162.32,122.19,
"April 7, 2026",RRSP,VFV.TO,DRIP,0.0104,162.32,1.69,
"January 7, 2026",Non-Registered,VEQT.TO,DIVIDEND,0.0,0.0,494.12,
"August 21, 2025",Non-Registered,VEQT.TO,BUY,408.0,50.15,20463.28,
"August 21, 2025",Non-Registered,VEQT.TO,BUY,92.0,50.11,4610.12,
"October 8, 2025",Non-Registered,VEQT.TO,BUY,90.0,53.62,4825.8,
"October 9, 2025",Non-Registered,VEQT.TO,BUY,60.0,53.53,3211.8,
"January 7, 2026",Non-Registered,VEQT.TO,DIVIDEND,0.0,0.0,494.12,
"January 12, 2026",RRSP,VEQT.TO,BUY,269.0,55.79,15007.51,
"January 12, 2026",RRSP,VEQT.TO,BUY,5.0,55.81,279.05,
"June 5, 2026",RRSP USD,SCHD,BUY,1548.3439,32.56,50421.82,
"June 23, 2025",TFSA,VAB.TO,BUY,9.0,23.11,207.99,
"July 2, 2025",TFSA,VAB.TO,BUY,13.0,22.96,298.48,
"July 8, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,0.59,
"July 18, 2025",TFSA,VAB.TO,BUY,88.0,22.69,1996.72,
"August 10, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,5.88,
"August 10, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,1.31,
"August 21, 2025",TFSA,VAB.TO,BUY,220.0,22.75,5006.21,
"August 21, 2025",TFSA,VAB.TO,BUY,1.0,22.76,22.76,
"September 8, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,17.45,
"September 8, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,2.75,
"September 9, 2025",TFSA,VAB.TO,DRIP,0.1187,23.15,2.75,
"September 9, 2025",TFSA,VAB.TO,DRIP,0.7537,23.15,17.45,
"October 7, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,19.48,
"October 7, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,1.87,
"October 8, 2025",TFSA,VAB.TO,DRIP,0.0806,23.19,1.87,
"November 9, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,12.71,
"November 9, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,9.11,
"November 10, 2025",TFSA,VAB.TO,DRIP,0.3909,23.3,9.11,
"November 10, 2025",TFSA,VAB.TO,DRIP,0.5454,23.3,12.71,
"December 8, 2025",TFSA,VAB.TO,DIVIDEND,0.0,0.0,19.42,
"December 8, 2025",TFSA,VAB.TO,DRIP,0.1602,22.9,3.67,
"December 8, 2025",TFSA,VAB.TO,DRIP,0.6877,22.9,15.75,
"January 7, 2026",TFSA,VAB.TO,DIVIDEND,0.0,0.0,16.18,
"January 8, 2026",TFSA,VAB.TO,DRIP,0.2058,22.03,4.74,
"January 8, 2026",TFSA,VAB.TO,DRIP,0.4967,22.03,11.44,
"January 12, 2026",RRSP,VAB.TO,BUY,1084.0,23.04,24975.36,
"February 9, 2026",TFSA,VAB.TO,DIVIDEND,0.0,0.0,27.53,
"February 9, 2026",RRSP,VAB.TO,DIVIDEND,0.0,0.0,89.04,
"February 9, 2026",TFSA,VAB.TO,DRIP,0.0745,23.08,1.72,
"February 9, 2026",TFSA,VAB.TO,DRIP,1.1182,23.08,25.81,
"March 9, 2026",TFSA,VAB.TO,DIVIDEND,0.0,0.0,19.71,
"March 9, 2026",RRSP,VAB.TO,DIVIDEND,0.0,0.0,63.51,
"March 9, 2026",TFSA,VAB.TO,DRIP,0.1277,22.93,2.93,
"March 9, 2026",TFSA,VAB.TO,DRIP,0.7315,22.93,16.78,
"April 9, 2026",TFSA,VAB.TO,DIVIDEND,0.0,0.0,23.05,
"April 9, 2026",RRSP,VAB.TO,DIVIDEND,0.0,0.0,74.06,
"April 10, 2026",TFSA,VAB.TO,DRIP,0.0779,22.82,1.78,
"April 10, 2026",TFSA,VAB.TO,DRIP,0.9316,22.82,21.27,
"May 8, 2026",TFSA,VAB.TO,DIVIDEND,0.0,0.0,21.77,
"May 8, 2026",RRSP,VAB.TO,DIVIDEND,0.0,0.0,69.73,
"May 8, 2026",TFSA,VAB.TO,DRIP,0.0253,22.91,0.58,
"May 8, 2026",TFSA,VAB.TO,DRIP,0.9249,22.91,21.19,
"May 28, 2026",RRSP,VAB.TO,SELL,1084.0,22.95,24877.8,
"May 28, 2026",TFSA,VAB.TO,SELL,339.2913,22.95,7786.74,
"June 23, 2025",TFSA,VFV.TO,BUY,7.0,146.6,1026.2,
"July 2, 2025",TFSA,VFV.TO,BUY,10.0,149.84,1498.4,
"July 7, 2025",TFSA,VFV.TO,DIVIDEND,0.0,0.0,2.58,
"July 11, 2025",TFSA,VFV.TO,BUY,80.0,151.55,12124.0,
"July 11, 2025",TFSA,VFV.TO,BUY,1.0,151.54,151.54,
"July 18, 2025",TFSA,VFV.TO,BUY,22.0,153.13,3368.86,
"July 18, 2025",TFSA,VFV.TO,BUY,1.0,153.14,153.14,
"June 23, 2025",TFSA,VCN.TO,BUY,9.0,54.29,48.61,
"July 2, 2025",TFSA,VCN.TO,BUY,13.0,54.9,713.7,
"July 11, 2025",TFSA,VCN.TO,BUY,100.0,55.13,5513.0,
"July 18, 2025",TFSA,VCN.TO,BUY,40.0,5581.0,2232.4,
"August 21, 2025",TFSA,VFV.TO,BUY,170.0,157.23,26729.1,
"January 12, 2026",RRSP,VFV.TO,BUY,144.0,171.72,24727.68,
